listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates,track_type,rcept_no,report_nm,rcept_dt,dart_url,filing_search_result
2024-11-01,탑런토탈솔루션,814582,336680,탑런토탈솔루션,exact,False,37.85,46.73,42.29,,,general,20241022000214,[발행조건확정]증권신고서(지분증권),20241022,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241022000214,ok_pri1
2024-11-01,에이럭스,1641600,475580,에이럭스,exact,False,13.41,26.24,19.825,,,general,20241021000237,[발행조건확정]증권신고서(지분증권),20241021,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241021000237,ok_pri1
2024-10-31,성우,319272,458650,성우,exact,False,14.03,25.89,19.96,,,general,20241018000189,[발행조건확정]증권신고서(지분증권),20241018,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241018000189,ok_pri1
2024-10-25,에이치엔에스하이텍,311216,44990,에이치엔에스하이텍,exact,False,19.37,31.78,25.575000000000003,,,general,20241011000542,[발행조건확정]증권신고서(지분증권),20241011,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241011000542,ok_pri1
2024-10-22,한켐,1016309,457370,한켐,exact,False,18.89,30.08,24.485,,,general,20241002000203,[발행조건확정]증권신고서(지분증권),20241002,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241002000203,ok_pri1
2024-10-18,와이제이링크,1023211,209640,와이제이링크,exact,False,23.05,32.47,27.76,,,general,20241007000466,[발행조건확정]증권신고서(지분증권),20241007,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241007000466,ok_pri1
2024-10-18,인스피언,1284876,465480,인스피언,exact,False,16.37,33.1,24.735,,,general,20241002000231,[발행조건확정]증권신고서(지분증권),20241002,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241002000231,ok_pri1
2024-09-30,제닉스,1293485,381620,제닉스로보틱스,partial,False,23.44,36.95,30.195,부분 매칭: 제닉스 → 제닉스로보틱스,,general,20240913000388,[발행조건확정]증권신고서(지분증권),20240913,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240913000388,ok_pri1
2024-08-30,아이스크림미디어,657224,461300,아이스크림미디어,exact,False,9.41,27.89,18.65,,,general,20240820000053,[발행조건확정]증권신고서(지분증권),20240820,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240820000053,ok_pri1
2024-08-22,M83,1704680,476080,M83,exact,False,33.63,43.84,38.735,,,general,20240809000437,[발행조건확정]증권신고서(지분증권),20240809,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240809000437,ok_pri1
2024-08-21,티디에스팜,1232192,464280,티디에스팜,exact,False,11.86,21.75,16.805,,,general,20240808000209,[발행조건확정]증권신고서(지분증권),20240808,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240808000209,ok_pri1
2024-08-16,유라클,407294,88340,유라클,exact,False,22.74,33.78,28.26,,,general,20240805000135,[발행조건확정]증권신고서(지분증권),20240805,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240805000135,ok_pri1
2024-06-27,하이젠알앤엠,650771,160190,하이젠알앤엠,exact,False,19.13,33.83,26.48,,,general,20240617000110,[발행조건확정]증권신고서(지분증권),20240617,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240617000110,ok_pri1
2024-06-14,그리드위즈,1299203,453450,그리드위즈,exact,False,43.11,51.65,47.38,,,general,20240531001586,[발행조건확정]증권신고서(지분증권),20240531,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240531001586,ok_pri1
2024-05-24,노브랜드,305941,145170,노브랜드,exact,False,14.45,32.34,23.395000000000003,,,general,20240510000090,[발행조건확정]증권신고서(지분증권),20240510,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240510000090,ok_pri1
2024-05-07,코칩,446901,126730,코칩,exact,False,9.08,28.57,18.825,,,general,20240423000279,[발행조건확정]증권신고서(지분증권),20240423,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240423000279,ok_pri1
2024-03-13,오상헬스케어,260657,36220,오상헬스케어,exact,False,39.89,47.91,43.9,,,general,20240229002403,[기재정정]증권신고서(지분증권),20240229,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240229002403,ok_pri2
2024-02-06,스튜디오삼익,1540815,415380,스튜디오삼익,exact,False,19.62,29.36,24.49,,,general,20240124000150,[발행조건확정]증권신고서(지분증권),20240124,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240124000150,ok_pri1
2024-02-01,이닉스,338170,452400,이닉스,exact,False,21.93,34.71,28.32,,,general,20240119000136,[발행조건확정]증권신고서(지분증권),20240119,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240119000136,ok_pri1
2024-01-29,포스뱅크,862312,105760,포스뱅크,exact,False,17.23,28.26,22.745,,,general,20240115000358,[발행조건확정]증권신고서(지분증권),20240115,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240115000358,ok_pri1
2024-01-26,현대힘스,667373,460930,현대힘스,exact,False,24.2,39.84,32.02,,,general,20240116000199,[발행조건확정]증권신고서(지분증권),20240116,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240116000199,ok_pri1
2024-01-25,HB인베스트먼트,309460,440290,HB인베스트먼트,exact,False,26.62,37.1,31.86,,,general,20240115000371,[발행조건확정]증권신고서(지분증권),20240115,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240115000371,ok_pri1
2024-01-24,우진엔텍,1030503,457550,우진엔텍,exact,False,14.87,25.3,20.085,,,general,20240115000087,[발행조건확정]증권신고서(지분증권),20240115,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240115000087,ok_pri1
