listing_date,company_name,discount_rate_high_pct,discount_rate_low_pct,discount_rate_mid_pct,rate_col1,rate_col2,source_pdf,source_page,extraction_method
2023-11-28,에이에스텍,34.44,21.96,28.2,34.44,21.96,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-24,한선엔지니어링,32.99,22.68,27.835,32.99,22.68,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-21,에코아이,30.7,15.6,23.15,30.7,15.6,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-20,스톰테크,38.2,26.6,32.4,38.2,26.6,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-15,캡스톤파트너스,24.32,14.87,19.595,24.32,14.87,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-13,에스와이스틸텍,36.0,20.0,28.0,36.0,20.0,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-13,에이직랜드,38.38,30.96,34.67,38.38,30.96,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-09,메가터치,29.85,19.83,24.84,29.85,19.83,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-11-02,유진테크놀로지,38.69,30.55,34.62,38.69,30.55,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-10-26,워트,21.81,12.43,17.12,21.81,12.43,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-10-20,에스엘에스바이오,19.35,7.55,13.45,19.35,7.55,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-10-19,신성에스티,37.78,29.3,33.54,37.78,29.3,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-10-18,퓨릿,40.5,28.0,34.25,40.5,28.0,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-10-06,레뷰코퍼레이션,32.42,22.43,27.425,32.42,22.43,한라캐스트_peer_group_extraction.pdf,19,pypdf_text
2023-10-04,한싹,35.28,20.01,27.645,35.28,20.01,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-09-25,인스웨이브시스템즈,49.14,38.96,44.05,49.14,38.96,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-08-17,빅텐츠,28.38,21.56,24.97,28.38,21.56,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-08-10,코츠테크놀로지,33.65,23.69,28.67,33.65,23.69,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-08-04,엠아이큐브솔루션,35.81,24.48,30.145,35.81,24.48,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-07-27,에이엘티,38.48,24.48,31.48,38.48,24.48,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-07-24,뷰티스킨,18.36,6.69,12.525,18.36,6.69,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-07-14,필에너지,30.5,20.73,25.615,30.5,20.73,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-06-29,시큐센,28.29,13.95,21.12,28.29,13.95,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-06-08,마녀공장,46.28,37.32,41.8,46.28,37.32,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-06-02,나라셀라,34.6,21.52,28.06,34.6,21.52,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-06-01,진영,41.21,31.41,36.31,41.21,31.41,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-05-24,기가비스,47.14,39.0,43.07,47.14,39.0,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-05-17,트루엔,36.22,23.47,29.845,36.22,23.47,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-04-27,토마토시스템,35.52,21.35,28.435,35.52,21.35,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-03-29,LB인베스트먼트,30.79,19.78,25.285,30.79,19.78,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-03-13,금양그린파워,44.23,33.41,38.82,33.41,44.23,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-03-03,나노팀,31.19,22.21,26.7,22.21,31.19,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-03-02,바이오인프라,36.26,25.64,30.95,25.64,36.26,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-02-20,이노진,22.17,6.6,14.385,6.6,22.17,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-02-09,꿈비,22.83,13.18,18.005,13.18,22.83,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-02-07,스튜디오미르,38.0,20.8,29.4,20.8,38.0,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-02-03,삼기이브이,25.51,10.98,18.245,10.98,25.51,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-01-27,미래반도체,21.14,10.72,15.93,10.72,21.14,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
2023-01-19,한주라이트메탈,40.95,32.2,36.575,32.2,40.95,한라캐스트_peer_group_extraction.pdf,20,pypdf_text
