listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates,track_type,rcept_no,report_nm,rcept_dt,dart_url,filing_search_result
2023-02-16,제이오,00411808,418550,제이오,exact,False,38.6,52.7,45.65,,,general,20230206000061,[발행조건확정]증권신고서(지분증권),20230206,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230206000061,ok_pri1
2023-03-07,자람테크놀로지,01365038,389020,자람테크놀로지,exact,False,26.2,40.9,33.55,,,general,20230220002105,[발행조건확정]증권신고서(지분증권),20230220,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230220002105,ok_pri1
2023-03-30,지아이이노베이션,01351080,358570,지아이이노베이션,exact,False,41.2,55.2,48.2,,,general,20230320000170,[발행조건확정]증권신고서(지분증권),20230320,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000170,ok_pri1
2023-04-26,마이크로투나노,00624378,424980,마이크로투나노,exact,False,21.2,31.4,26.3,,,general,20230413001207,[발행조건확정]증권신고서(지분증권),20230413,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230413001207,ok_pri1
2023-05-04,에스바이오메딕스,01258020,304360,에스바이오메딕스,exact,False,52.0,57.3,54.65,,,general,20230420000516,[발행조건확정]증권신고서(지분증권),20230420,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230420000516,ok_pri1
2023-05-19,씨유박스,,,,not_found,True,33.8,50.9,42.35,,,general,,,,,no_corp_code
2023-05-19,모니터랩,01583652,434480,모니터랩,exact,False,30.6,46.9,38.75,,,general,20230508000469,[발행조건확정]증권신고서(지분증권),20230508,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230508000469,ok_pri1
2023-06-15,큐라티스,01357765,348080,큐라티스,exact,False,42.3,53.1,47.7,,,general,20230602000188,[발행조건확정]증권신고서(지분증권),20230602,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230602000188,ok_pri1
2023-06-16,프로테옴텍,,,,not_found,True,15.4,30.7,23.05,,,general,,,,,no_corp_code
2023-06-30,오픈놀,01585155,440320,오픈놀,exact,False,13.37,29.41,21.39,,,general,20230620000336,[기재정정]증권신고서(지분증권),20230620,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230620000336,ok_pri2
2023-07-06,이노시뮬레이션,00965318,274400,이노시뮬레이션,exact,False,29.9,39.2,34.55,,,general,20230626000073,[발행조건확정]증권신고서(지분증권),20230626,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230626000073,ok_pri1
2023-07-19,센서뷰,01593668,321370,센서뷰,exact,False,36.7,49.0,42.85,,,general,20230706000211,[발행조건확정]증권신고서(지분증권),20230706,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230706000211,ok_pri1
2023-07-26,버넥트,01605529,438700,버넥트,exact,False,21.9,33.9,27.9,,,general,20230714000339,[기재정정]증권신고서(지분증권),20230714,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230714000339,ok_pri2
2023-07-27,파로스아이바이오,01495180,388870,파로스아이바이오,exact,False,44.4,56.7,50.55,,,general,20230713000053,[발행조건확정]증권신고서(지분증권),20230713,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230713000053,ok_pri1
2023-08-03,시지트로닉스,01284751,429270,시지트로닉스,exact,False,40.6,46.5,43.55,,,general,20230721000279,[발행조건확정]증권신고서(지분증권),20230721,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230721000279,ok_pri1
2023-08-07,파두,01292291,440110,파두,exact,False,24.2,36.4,30.3,,,general,20230726000458,[발행조건확정]증권신고서(지분증권),20230726,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230726000458,ok_pri1
2023-08-10,템즈,,,,multiple_partial,True,32.0,44.8,38.4,8개 부분 매칭 후보,"[{'corp_code': '01872459', 'name': '본시스템즈', 'stock': '496320'}, {'corp_code': '00453752', 'name': '제너시스템즈', 'stock': '073930'}, {'corp_code': '00132637', 'name': '동원시스템즈', 'stock': '014820'}, {'corp_code': '00363486', 'name': '로체시스템즈', 'stock': '071280'}, {'corp_code': '01286476', 'name': 'RF시스템즈', 'stock': '474610'}]",general,,,,,no_corp_code
2023-08-22,스마트레이더시스템,01555215,424960,스마트레이더시스템,exact,False,42.2,50.7,46.45,,,general,20230809000641,[발행조건확정]증권신고서(지분증권),20230809,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230809000641,ok_pri1
2023-08-24,시큐레터,01579570,418250,시큐레터,exact,False,25.9,35.7,30.8,,,general,20230811001329,[발행조건확정]증권신고서(지분증권),20230811,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230811001329,ok_pri1
2023-10-10,아이엠티,01546101,451220,아이엠티,exact,False,40.04,47.53,43.785,,,general,20230914000342,[발행조건확정]증권신고서(지분증권),20230914,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230914000342,ok_pri1
2023-10-27,퀄리타스반도체,01584183,432720,퀄리타스반도체,exact,False,24.13,34.25,29.19,,,general,20231017000136,[발행조건확정]증권신고서(지분증권),20231017,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231017000136,ok_pri1
2023-11-07,쏘닉스,00561723,088280,쏘닉스,exact,False,24.55,46.1,35.325,,,general,20231025000085,[발행조건확정]증권신고서(지분증권),20231025,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231025000085,ok_pri1
2023-11-09,비아이매트릭스,01462739,413640,비아이매트릭스,exact,False,15.53,30.12,22.825,,,general,20231027000507,[발행조건확정]증권신고서(지분증권),20231027,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231027000507,ok_pri1
2023-11-09,큐로셀,01492651,372320,큐로셀,exact,False,21.18,29.88,25.53,,,general,20231030000431,[발행조건확정]증권신고서(지분증권),20231030,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231030000431,ok_pri1
2023-11-09,컨텍,01685251,451760,컨텍,exact,False,24.16,31.58,27.87,,,general,20231030000344,[발행조건확정]증권신고서(지분증권),20231030,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231030000344,ok_pri1
2023-11-24,그린리소스,01370863,402490,그린리소스,exact,False,20.2,37.3,28.75,,,general,20231110000300,[발행조건확정]증권신고서(지분증권),20231110,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231110000300,ok_pri1
2023-12-01,에이텀,01444380,355690,에이텀,exact,False,25.08,42.56,33.82,,,general,20231117000115,[발행조건확정]증권신고서(지분증권),20231117,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231117000115,ok_pri1
2023-12-05,와이바이오로직스,01226234,338840,와이바이오로직스,exact,False,35.81,47.48,41.645,,,general,20231121000049,[발행조건확정]증권신고서(지분증권),20231121,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231121000049,ok_pri1
2024-02-22,케이웨더,00426828,068100,케이웨더,exact,False,14.08,28.89,21.485,,,general,20240208000055,[발행조건확정]증권신고서(지분증권),20240208,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240208000055,ok_pri1
2024-02-23,이에이트,,,,not_found,True,24.28,40.65,32.465,,,general,,,,,no_corp_code
2024-02-23,코셈,01493793,360350,코셈,exact,False,16.65,28.56,22.605,,,general,20240206000485,[발행조건확정]증권신고서(지분증권),20240206,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240206000485,ok_pri1
2024-03-07,케이엔알시스템,00672603,199430,케이엔알시스템,exact,False,31.37,43.85,37.61,,,general,20240223002182,[발행조건확정]증권신고서(지분증권),20240223,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240223002182,ok_pri1
2024-03-21,삼현,00262266,437730,삼현,exact,False,12.93,30.28,21.605,,,general,20240311000468,[발행조건확정]증권신고서(지분증권),20240311,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240311000468,ok_pri1
2024-03-26,엔젤로보틱스,01592049,455900,엔젤로보틱스,exact,False,16.81,38.99,27.9,,,general,20240313000679,[발행조건확정]증권신고서(지분증권),20240313,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240313000679,ok_pri1
2024-04-03,아이엠비디엑스,01497373,461030,아이엠비디엑스,exact,False,24.77,41.49,33.13,,,general,20240322000928,[발행조건확정]증권신고서(지분증권),20240322,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240322000928,ok_pri1
2024-05-02,디앤디파마텍,01376715,347850,디앤디파마텍,exact,False,40.31,49.49,44.9,,,general,20240419000507,[발행조건확정]증권신고서(지분증권),20240419,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240419000507,ok_pri1
2024-05-03,민테크,01689035,452200,민테크,exact,False,13.62,33.95,23.785,,,general,20240422000037,[발행조건확정]증권신고서(지분증권),20240422,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240422000037,ok_pri1
2024-05-17,아이씨티케이,01373709,456010,아이씨티케이,exact,False,15.0,31.0,23.0,,,general,20240503000443,[발행조건확정]증권신고서(지분증권),20240503,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240503000443,ok_pri1
2024-06-17,라메디텍,01504211,462510,라메디텍,exact,False,10.54,26.75,18.645,,,general,20240603000259,[발행조건확정]증권신고서(지분증권),20240603,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240603000259,ok_pri1
