listing_date,company_name,discount_rate_high_pct,discount_rate_low_pct,discount_rate_mid_pct,rate_col1,rate_col2,source_page
2024-10-18,인스피언,33.1,16.37,24.735,33.1,16.37,23
2024-09-30,제닉스,36.95,23.44,30.195,36.95,23.44,23
2024-08-30,아이스크림미디어,27.89,9.41,18.65,27.89,9.41,23
2024-08-22,M83,43.84,33.63,38.735,43.84,33.63,23
2024-08-21,티디에스팜,21.75,11.86,16.805,21.75,11.86,23
2024-08-16,유라클,33.78,22.74,28.259999999999998,33.78,22.74,23
2024-06-27,하이젠알앤엠,33.83,19.13,26.479999999999997,33.83,19.13,23
2024-06-14,그리드위즈,51.65,43.11,47.379999999999995,51.65,43.11,23
2024-05-24,노브랜드,32.34,14.45,23.395000000000003,32.34,14.45,23
2024-05-07,코칩,28.57,9.08,18.825,28.57,9.08,23
2024-03-13,오상헬스케어,47.91,39.89,43.9,47.91,39.89,23
2024-02-06,스튜디오삼익,29.36,19.62,24.490000000000002,29.36,19.62,23
2024-02-01,이닉스,34.71,21.93,28.32,34.71,21.93,23
2024-01-29,포스뱅크,28.26,17.23,22.745,28.26,17.23,23
2024-01-26,현대힘스,39.84,24.2,32.02,39.84,24.2,23
2024-01-25,HB인베스트먼트,37.1,26.62,31.86,37.1,26.62,23
2024-01-24,우진엔텍,25.3,14.87,20.085,25.3,14.87,23
2023-12-12,LS머트리얼즈,30.89,13.62,22.255,30.89,13.62,23
2023-12-06,케이엔에스,32.93,22.34,27.634999999999998,32.93,22.34,23
2023-11-28,에이에스텍,34.44,21.96,28.2,34.44,21.96,23
2023-11-24,한선엔지니어링,32.99,22.68,27.835,32.99,22.68,23
2023-11-21,에코아이,30.7,15.6,23.15,30.7,15.6,23
2023-11-20,스톰테크,38.2,26.6,32.400000000000006,38.2,26.6,23
2023-11-15,캡스톤파트너스,24.32,14.87,19.595,24.32,14.87,23
2023-11-13,에스와이스틸텍,36.0,20.0,28.0,36.0,20.0,23
2023-11-13,에이직랜드,38.38,30.96,34.67,38.38,30.96,23
2023-11-09,메가터치,29.85,19.83,24.84,29.85,19.83,23
2023-11-02,유진테크놀로지,38.69,30.55,34.62,38.69,30.55,23
2023-10-26,워트,21.81,12.43,17.119999999999997,21.81,12.43,23
2023-10-20,에스엘에스바이오,19.35,7.55,13.450000000000001,19.35,7.55,23
2023-10-19,신성에스티,37.78,29.3,33.54,37.78,29.3,23
2023-10-18,퓨릿,40.5,28.0,34.25,40.5,28.0,23
2023-10-06,레뷰코퍼레이션,32.42,22.43,27.425,32.42,22.43,23
2023-10-04,한싹,35.28,20.01,27.645000000000003,35.28,20.01,24
2023-09-25,인스웨이브시스템즈,49.14,38.96,44.05,49.14,38.96,24
2023-08-17,빅텐츠,28.38,21.56,24.97,28.38,21.56,24
2023-08-10,코츠테크놀로지,33.65,23.69,28.67,33.65,23.69,24
2023-08-04,엠아이큐브솔루션,35.81,24.48,30.145000000000003,35.81,24.48,24
2023-07-27,에이엘티,38.48,24.48,31.479999999999997,38.48,24.48,24
2023-07-24,뷰티스킨,18.36,6.69,12.525,18.36,6.69,24
2023-07-14,필에너지,30.5,20.73,25.615000000000002,30.5,20.73,24
2023-06-29,시큐센,28.29,13.95,21.119999999999997,28.29,13.95,24
2023-06-08,마녀공장,46.28,37.32,41.8,46.28,37.32,24
2023-06-02,나라셀라,34.6,21.52,28.060000000000002,34.6,21.52,24
2023-06-01,진영,41.21,31.41,36.31,41.21,31.41,24
2023-05-24,기가비스,47.14,39.0,43.07,47.14,39.0,24
2023-05-17,트루엔,36.22,23.47,29.845,36.22,23.47,24
2023-04-27,토마토시스템,35.52,21.35,28.435000000000002,35.52,21.35,24
2023-03-29,LB인베스트먼트,30.79,19.78,25.285,30.79,19.78,24
2023-03-13,금양그린파워,44.23,33.41,38.81999999999999,33.41,44.23,24
2023-03-03,나노팀,31.19,22.21,26.700000000000003,22.21,31.19,24
2023-03-02,바이오인프라,36.26,25.64,30.95,25.64,36.26,24
2023-02-20,이노진,22.17,6.6,14.385000000000002,6.6,22.17,24
2023-02-09,꿈비,22.83,13.18,18.005,13.18,22.83,24
2023-02-07,스튜디오미르,38.0,20.8,29.4,20.8,38.0,24
2023-02-03,삼기이브이,25.51,10.98,18.245,10.98,25.51,24
2023-01-27,미래반도체,21.14,10.72,15.93,10.72,21.14,24
2023-01-19,한주라이트메탈,40.95,32.2,36.575,32.2,40.95,24
2023-04-29,제3자배정 유상증자,133.0,52.0,92.5,52.0,133.0,31
2024-09-07,액면분할,26.0,15.0,20.5,26.0,15.0,31
2025-03-28,보통주 전환,4.0,2.0,3.0,2.0,4.0,31
