company_name,listing_date,corp_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,net_income_mn,net_income_bn,peer_per,valuation_model,per_stock_value,total_shares,offering_shares,offering_amount,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_diff,data_quality_flag,net_income_type,institutional_ratio,retail_ratio,discount_rate_xml_source
아스테라시스,2025-01-24,1590528,20250113000245,[발행조건확정]증권신고서(지분증권),general,13.7,24.95,19.325,4000.0,4600.0,4300.0,4600.0,0.0698,,,31.89,PER,5330.0,36514642.0,3650000.0,16790000000.0,13.7,24.95,19.325,코스닥,0.0,0.0,4.0,ok,395677.0,13.6961,0.0,OK,,,,
미트박스,2025-01-23,1374717,20250110000703,[발행조건확정]증권신고서(지분증권),general,29.18,41.5,35.34,19000.0,23000.0,21000.0,19000.0,-0.0952,,,,PER,32478.0,5642150.0,1000000.0,19000000000.0,29.18,41.5,35.34,코스닥,0.0,0.0,3.0,partial,467403.0,41.4989,0.0,OK,,,,
듀켐바이오,2024-12-20,867034,20241210000172,[발행조건확정]증권신고서(지분증권),general,30.99,39.8,35.395,,,,8000.0,,,,,PER,,,1430000.0,11440000000.0,,,,,0.0,0.0,1.0,fail,165556.0,,,NO_XML_DR,,,,
벡트,2024-12-16,1453944,20241203000034,[발행조건확정]증권신고서(지분증권),general,23.7,31.53,27.615,3500.0,3900.0,3700.0,3900.0,0.0541,3174.0,31.74,22.08,PER,,,4750000.0,18525000000.0,23.7,31.53,27.615,코스닥,0.0,0.0,5.0,ok,579711.0,,0.0,OK,,,,
위츠,2024-11-20,1445440,20241105000117,[발행조건확정]증권신고서(지분증권),general,14.77,29.42,22.095,5300.0,6400.0,5850.0,6400.0,0.094,5107.0,51.07,18.6,PER,7509.0,12652000.0,3000000.0,19200000000.0,14.76,29.41,22.085,코스닥,0.0,0.0,5.0,ok,509602.0,14.7689,0.01,OK,,,,
사이냅소프트,2024-11-19,1207901,20241106000152,[발행조건확정]증권신고서(지분증권),general,27.98,38.26,33.12,21000.0,24500.0,22750.0,24500.0,0.0769,6809.0,68.09,25.2,PER,34016.0,5037023.0,1010000.0,24745000000.0,27.98,38.26,33.12,코스닥,0.0,0.0,5.0,ok,450847.0,27.9751,0.0,OK,,,,
엠오티,2024-11-18,1563922,20241106000087,[발행조건확정]증권신고서(지분증권),general,6.48,19.84,13.16,12000.0,14000.0,13000.0,10000.0,-0.2308,,,,PER,14970.0,12174580.0,1750000.0,17500000000.0,6.48,19.84,13.16,코스닥,0.0,0.0,3.0,partial,620383.0,33.1997,0.0,OK,,,,
닷밀,2024-11-13,1605282,20241101000289,[발행조건확정]증권신고서(지분증권),general,20.91,33.08,26.995,11000.0,13000.0,12000.0,13000.0,0.0833,,,,PER,16438.0,9438054.0,1200000.0,,20.91,33.08,26.995,코스닥,0.0,0.0,3.0,partial,457533.0,20.915,0.0,OK,,,,
탑런토탈솔루션,2024-11-01,814582,20241022000214,[발행조건확정]증권신고서(지분증권),general,37.85,46.73,42.29,,,,18000.0,,,,,PER,,,2500000.0,45000000000.0,,,,,0.0,0.0,1.0,fail,159825.0,,,NO_XML_DR,,,,
에이럭스,2024-11-01,1641600,20241021000237,[발행조건확정]증권신고서(지분증권),general,13.41,26.24,19.825,11500.0,13500.0,12500.0,16000.0,0.28,4169.567,41.6957,51.56,PER,15591.0,13789430.0,1500000.0,24000000000.0,13.41,26.24,19.825,코스닥,0.0,0.0,5.0,ok,695495.0,-2.6233,0.0,OK,,,,
