listing_date,company_name,discount_rate_high_pct,discount_rate_low_pct,discount_rate_mid_pct,rate_col1,rate_col2,source_pdf,source_page,extraction_method
2023-08-24,시큐레터,35.7,25.9,30.8,35.7,25.9,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2023-10-10,아이엠티,47.53,40.04,43.785,47.53,40.04,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2023-10-27,퀄리타스반도체,34.25,24.13,29.19,34.25,24.13,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2023-11-07,쏘닉스,46.1,24.55,35.325,46.1,24.55,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2023-11-09,비아이매트릭스,30.12,15.53,22.825,30.12,15.53,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2023-11-09,큐로셀,29.88,21.18,25.53,29.88,21.18,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2023-11-09,컨텍,31.58,24.16,27.87,31.58,24.16,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2023-11-24,그린리소스,37.3,20.2,28.75,37.3,20.2,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2023-12-01,에이텀,42.56,25.08,33.82,42.56,25.08,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2023-12-05,와이바이오로직스,47.48,35.81,41.645,47.48,35.81,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-02-22,케이웨더,28.89,14.08,21.485,28.89,14.08,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-02-23,이에이트,40.65,24.28,32.465,40.65,24.28,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-02-23,코셈,28.56,16.65,22.605,28.56,16.65,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-03-07,케이엔알시스템,43.85,31.37,37.61,43.85,31.37,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-03-21,삼현,30.28,12.93,21.605,30.28,12.93,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-03-26,엔젤로보틱스,38.99,16.81,27.9,38.99,16.81,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
