company_name,listing_date,corp_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,final_offering_price,valuation_model,offering_amount,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_diff,data_quality_flag,price_band_low,price_band_high,band_midpoint,price_vs_mid,per_stock_value,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,discount_rate_implied,total_shares,net_income_mn,net_income_bn,peer_per,offering_shares,discount_rate_xml_source,institutional_ratio,retail_ratio,net_income_type
엠아이큐브솔루션,2023-08-04,01497142,20230725000127,[발행조건확정]증권신고서(지분증권),general,24.48,35.81,30.145,12000.0,PER,14520000000.0,코스닥,0.0,0.0,3.0,partial,404009.0,0.0,OK,8500.0,10000.0,9250.0,0.2973,13242.0,24.48,35.81,30.145,9.3792,,,,,,,,,
엠오티,2024-11-18,01563922,20241106000087,[발행조건확정]증권신고서(지분증권),general,6.48,19.84,13.16,10000.0,PER,17500000000.0,코스닥,0.0,0.0,4.0,ok,620383.0,0.0,OK,12000.0,14000.0,13000.0,-0.2308,14970.0,6.48,19.84,13.16,33.1997,12174580.0,7023.0,70.23,,1750000.0,,,,
영창케미칼,2022-07-14,,,,general,26.0,40.3,33.15,,,,,,,,no_rcept_no,,,,,,,,,,,,,,,,,,,,,
오가노이드사이언스,2025-05-09,01626391,20250424000315,[발행조건확정]증권신고서(지분증권),general,18.88,34.33,26.605,21000.0,PER,25200000000.0,코스닥,0.0,0.0,4.0,ok,375349.0,0.0,OK,17000.0,21000.0,19000.0,0.1053,25888.0,18.88,34.33,26.605,18.8813,6854655.0,10305.0,103.05,,36000.0,,,,
오름테라퓨틱,2025-02-14,01658831,20250203000294,[발행조건확정]증권신고서(지분증권),general,65.27,72.22,68.745,20000.0,PER,50000000000.0,코스닥,0.0,0.0,4.0,ok,530241.0,0.0,OK,24000.0,30000.0,27000.0,-0.2593,86388.0,65.27,72.22,68.745,76.8486,22136419.0,99290.1169,992.9012,,2500000.0,,,,
오브젠,2023-01-30,01472930,20230113000327,[발행조건확정]증권신고서(지분증권),general,22.2,41.6,31.9,18000.0,PER,13967208000.0,코스닥,0.0,0.0,3.0,partial,329876.0,0.015,OK,18000.0,24000.0,21000.0,-0.1429,30843.0,22.19,41.64,31.915,41.6399,,,,,23279.0,,,,
오상헬스케어,2024-03-13,00260657,20240229002403,[기재정정]증권신고서(지분증권),general,39.89,47.91,43.9,20000.0,PER,,,0.0,0.0,5.0,ok,4526431.0,0.0,OK,13000.0,15000.0,14000.0,0.4286,24954.0,39.89,47.91,43.9,19.8525,14989416.0,1210.0,12.1,78.34,990000.0,,,,
오픈놀,2023-06-30,01585155,20230620000336,[기재정정]증권신고서(지분증권),general,13.37,29.41,21.39,10000.0,PER,,,0.0,0.0,3.0,partial,2922514.0,0.01,OK,,,,,15584.0,13.38,29.42,21.4,35.8316,1.0,15117.0,151.17,18.31,1650000.0,,,,
온코닉테라퓨틱스,2024-12-19,01632912,20241205000262,[발행조건확정]증권신고서(지분증권),general,24.44,32.83,28.635,13000.0,PER,20150000000.0,코스닥,0.0,0.0,4.0,ok,492449.0,16.7913,MISMATCH_CHECK,16000.0,18000.0,17000.0,-0.2353,23821.0,,,45.4263,45.4263,11569460.0,,,24.82,46500.0,implied,,,
온코크로스,2024-12-18,01423916,20241205000549,[발행조건확정]증권신고서(지분증권),general,15.18,30.35,22.765,7300.0,PER,10387900000.0,코스닥,0.0,0.0,4.0,ok,451209.0,0.0,OK,10100.0,12300.0,11200.0,-0.3482,14502.0,15.18,30.35,22.765,49.6621,12666957.0,9904.0,99.04,,1423000.0,,,,
와이랩,2023-07-20,01406265,20230706000314,[발행조건확정]증권신고서(지분증권),general,23.59,33.14,28.365,9000.0,PER,27000000000.0,코스닥,0.0,0.0,3.0,partial,471971.0,0.0,OK,7000.0,8000.0,7500.0,0.2,10470.0,23.59,33.14,28.365,14.0401,,,,,90000.0,,,,
