listing_date,company_name,discount_rate_high_pct,discount_rate_low_pct,discount_rate_mid_pct,rate_col1,rate_col2,source_pdf,source_page,extraction_method
2025-11-27,아로마티카,39.96,19.95,29.955,39.96,19.95,한패스_IT.pdf,27,pdfplumber_table
2025-11-20,씨엠티엑스,44.0,33.56,38.78,44.0,33.56,한패스_IT.pdf,27,pdfplumber_table
2025-11-18,더핑크퐁컴퍼니,28.67,15.3,21.985,28.67,15.3,한패스_IT.pdf,27,pdfplumber_table
2025-11-14,세나테크놀로지,49.35,39.44,44.395,49.35,39.44,한패스_IT.pdf,27,pdfplumber_table
2025-08-21,제이피아이헬스케어,36.36,22.86,29.61,36.36,22.86,한패스_IT.pdf,27,pdfplumber_table
2025-08-20,한라캐스트,27.48,17.53,22.505,27.48,17.53,한패스_IT.pdf,27,pdfplumber_table
2025-08-19,에스엔시스,36.17,29.08,32.625,36.17,29.08,한패스_IT.pdf,27,pdfplumber_table
2025-08-18,삼양컴텍,35.92,25.24,30.58,35.92,25.24,한패스_IT.pdf,27,pdfplumber_table
2025-07-28,엔알비,22.9,10.05,16.475,22.9,10.05,한패스_IT.pdf,27,pdfplumber_table
2025-07-23,도우인시스,24.05,16.2,20.125,24.05,16.2,한패스_IT.pdf,27,pdfplumber_table
2025-07-07,싸이닉솔루션,22.33,8.74,15.535,22.33,8.74,한패스_IT.pdf,27,pdfplumber_table
2025-06-02,키스트론,30.65,19.46,25.055,30.65,19.46,한패스_IT.pdf,27,pdfplumber_table
2025-05-20,바이오비쥬,40.04,31.79,35.915,40.04,31.79,한패스_IT.pdf,27,pdfplumber_table
2025-05-09,원일티엔아이,49.85,41.12,45.485,49.85,41.12,한패스_IT.pdf,27,pdfplumber_table
2025-04-04,한국피아이엠,43.43,31.87,37.65,43.43,31.87,한패스_IT.pdf,27,pdfplumber_table
2025-04-03,에이유브랜즈,20.19,8.79,14.49,20.19,8.79,한패스_IT.pdf,27,pdfplumber_table
2025-03-24,더즌,36.51,24.41,30.46,36.51,24.41,한패스_IT.pdf,27,pdfplumber_table
2025-03-20,티엑스알로보틱스,36.53,25.49,31.01,36.53,25.49,한패스_IT.pdf,27,pdfplumber_table
