company_name,listing_date,corp_code,stock_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,net_income_mn,net_income_bn,peer_per,valuation_model,per_stock_value,total_shares,offering_shares,offering_amount,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_diff,data_quality_flag,net_income_type,institutional_ratio,retail_ratio,discount_rate_xml_source,dart_revenue_bn,dart_op_income_bn,dart_net_income_bn,dart_assets_bn,dart_equity_bn,dart_bsns_year,dart_reprt_code,dart_debt_ratio,dart_op_margin,net_income_source,source_dataset,crawling_sector,crawling_industry,crawling_summary,crawling_source_url,crawling_collected_at,crawling_status,segment_bio,segment_healthcare,segment_software,segment_ai,segment_robotics,segment_semiconductor,segment_materials,segment_manufacturing,segment_mobility,segment_fintech,segment_deeptech,segment_platform,segment_consumer,segment_unknown
나라스페이스테크놀로지,2025-12-17,1787355,478340,20251205000544,[발행조건확정]증권신고서(지분증권),general,30.69,44.97,37.83,13100.0,16500.0,14800.0,16500.0,0.1149,5419.0,54.19,51.72,PER,23805.0,11774571.0,1720000.0,28380000000.0,30.69,44.97,37.83,코스닥,0.0,0.0,5.0,ok,881712.0,30.6868,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 운송장비·부품,우주항공과국방,"동사는 2015년 설립된 초소형 인공위성 전문기업으로, 2025년 코스닥시장에 상장함. 자체 기술로 지역 최초 16U급 지구관측 초소형위성 개발에 성공하였고, 위성 제조부터 영상 판매까지 밸류체인 전 영역 사업을 하고 있음. 딥러닝 기반 초해상화 기술로 고해상도 영상 솔루션을 확보하며, 2023년 Observer-1A 발사로 NASA TRL 9을 달성하여 기술력을 입증하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=478340,2026-06-15T18:53:31,ok,0,0,1,1,0,1,0,1,0,0,1,0,0,0
나우로보틱스,2025-05-08,1594791,459510,20250422000537,[발행조건확정]증권신고서(지분증권),general,25.17,35.07,30.12,5900.0,6800.0,6350.0,6800.0,0.0709,,,,PER,9087.0,,2500000.0,17000000000.0,25.17,35.07,30.12,코스닥,0.0,0.0,3.0,partial,491154.0,25.1678,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 기계·장비,기계,"동사는 2016년 설립된 산업용·서비스용 로봇 및 자동화 시스템 전문 기업으로, 2025년 코스닥 상장 후 글로벌 사업 거점을 확대하고 있음. 직교로봇, 다관절 로봇, 스카라 로봇, AMR을 기반으로 자동차, 반도체, 전자 등 다양한 산업에 맞춤형 자동화 솔루션 제공하고 있음. 로봇 SW·HW 기술을 확보하여 협동로봇, 양팔로봇, 휴머노이드 등으로 사업 영역을 확대하며 성장하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=459510,2026-06-15T18:53:32,ok,0,0,1,0,1,1,0,0,1,0,0,0,0,0
넥스트바이오메디컬,2024-08-20,1385050,389650,20240806000195,[발행조건확정]증권신고서(지분증권),general,30.6,42.56,36.58,24000.0,29000.0,26500.0,29000.0,0.0943,18360.0,183.6,,PER,417843.0,,1000000.0,29000000000.0,30.6,42.56,36.58,코스닥,0.0,0.0,4.0,ok,519073.0,93.0596,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 의료·정밀기기,건강관리장비와용품,"동사는 2014년 설립된 혁신형 바이오 솔루션 기업으로, 2024년 코스닥시장에 상장함. 고분자 및 약물전달시스템 기술로 내시경용 지혈재, 혈관 색전 미립구 등을 개발하며, FDA, 유럽 CE 인증 등을 통해 기술성과 혁신성을 인정받고 있음. Medtronic과 품질협력협약 체결로 글로벌 품질 시스템을 구축하고, 일본 CMI 및 아사히인텍과의 판권 계약으로 글로벌 유통망 확보를 추진하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=389650,2026-06-09T18:53:56,ok,1,1,1,0,0,1,0,0,0,0,0,0,0,0
넥스트칩,2022-07-01,1515864,396270,20220620000302,[발행조건확정]증권신고서(지분증권),general,32.5,42.4,37.45,9900.0,11600.0,10750.0,13000.0,0.2093,,,,PER,17181.0,,78000.0,33800000000.0,32.5,42.4,37.45,코스닥,0.0,0.0,3.0,partial,405420.0,24.335,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 전기·전자,반도체와반도체장비,"동사는 2019년 설립된 차량용 지능형 카메라 시스템 반도체 전문기업으로 2022년 코스닥시장에 상장함. ADAS와 자율주행 확산에 따라 차량용 영상처리 반도체 시장을 중심으로 성장해왔으며, ISP, AHD, SoC 제품을 글로벌 고객사에 공급하고 있음. 차량용 반도체 기술을 기반으로 로봇 및 드론 시장으로 확장하며, 협동 및 자율이동로봇, 드론 부품 국산화 수요에 부응하는 사업을 하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=396270,2026-06-09T18:53:57,ok,0,0,0,0,1,1,0,1,1,0,0,0,0,0
노머스,2024-11-12,1703849,473980,20241101000247,[발행조건확정]증권신고서(지분증권),general,24.91,32.37,28.64,27200.0,30200.0,28700.0,30200.0,0.0523,,,,PER,40220.0,,1130000.0,34126000000.0,24.7,32.2,28.45,코스닥,0.0,0.0,3.0,partial,699081.0,24.913,0.19,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 오락·문화,방송과엔터테인먼트,"동사는 2019년 설립된 엔터테크 기업으로, 아티스트 IP를 활용한 종합 솔루션을 제공하고 있음. 2024년 코스닥시장에 이익미실현기업 특례상장하였으며, 종속회사 1개사를 보유하고 있음. 앨범 판매, 공연 주최 등 직접 활동과 콘텐츠 제작권, MD 판매권, 유료 메시지 서비스, 팬클럽 등 팬덤 플랫폼을 통한 IP 사용권을 계약 형태로 취득하여 간접 활동을 지원하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=473980,2026-06-15T18:53:32,ok,0,0,1,0,0,0,0,0,0,0,0,1,0,0
노브랜드,2024-05-23,305941,145170,20240510000090,[발행조건확정]증권신고서(지분증권),general,14.45,32.34,23.395,8700.0,11000.0,9850.0,14000.0,0.4213,,,,PER,12858.0,9950113.0,1200000.0,16800000000.0,14.45,32.34,23.395,코스닥,0.0,0.0,3.0,partial,622237.0,-8.8816,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 섬유·의류,"섬유,의류,신발,호화품","동사는 1994년 설립된 니트, 우븐 소재의 의류 ODM 전문 기업으로 2024년 코스닥에 상장함. 동사는 2024년 아웃도어 의류 전문업체 유니코글로벌과 2026년 셔츠·블라우스·드레스류 전문 반도비나를 인수하여 전 품목 생산 역량을 가지고 있음. Gap, Target 등 대량생산부터 Eileen Fisher 등 프리미엄, Everlane 등 온라인 브랜드까지 40여 개 글로벌 패션 브랜드와 20년 이상 거래하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=145170,2026-06-09T18:53:57,ok,0,0,0,0,0,0,1,1,0,0,0,0,1,0
노브랜드,2024-05-24,305941,145170,20240510000090,[발행조건확정]증권신고서(지분증권),general,14.45,32.34,23.395000000000003,8700.0,11000.0,9850.0,14000.0,0.4213,,,,PER,12858.0,9950113.0,1200000.0,16800000000.0,14.45,32.34,23.395,코스닥,0.0,0.0,3.0,partial,622237.0,-8.8816,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv,코스닥 섬유·의류,"섬유,의류,신발,호화품","동사는 1994년 설립된 니트, 우븐 소재의 의류 ODM 전문 기업으로 2024년 코스닥에 상장함. 동사는 2024년 아웃도어 의류 전문업체 유니코글로벌과 2026년 셔츠·블라우스·드레스류 전문 반도비나를 인수하여 전 품목 생산 역량을 가지고 있음. Gap, Target 등 대량생산부터 Eileen Fisher 등 프리미엄, Everlane 등 온라인 브랜드까지 40여 개 글로벌 패션 브랜드와 20년 이상 거래하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=145170,2026-06-09T18:53:57,ok,0,0,0,0,0,0,1,1,0,0,0,0,1,0
노을,2022-03-03,1494118,376930,20220218001119,[발행조건확정]증권신고서(지분증권),general,16.5,36.2,26.35,13000.0,17000.0,15000.0,10000.0,-0.3333,,-123.1309,,PER,,,1500000.0,15000000000.0,16.51,36.15,26.33,코스닥,0.0,0.0,3.0,partial,349163.0,,0.02,OK,,64.0,25.0,,14.7531,-114.3791,-123.1309,199.6112,18.5701,2021.0,11011.0,974.9,-775.29,dart_api,peer_group_expanded_features_enriched.csv,코스닥 의료·정밀기기,건강관리장비와용품,"동사는 2015년 설립된 의료AI, 바이오, 온디바이스AI 융합기술 기반의 진단 분야 헬스케어 솔루션 전문기업으로, 2022년 코스닥에 상장함. 주력 제품 miLab™은 전문 인력과 진단 인프라 부족 환경에서도 검사를 가능하게 하는 글로벌 최초 AI 진단랩 솔루션임. 동사는 EU CE 인증을 기반으로 아프리카, 동남아, 유럽, 미국 등에 제품 등록을 완료하고 글로벌 파트너십을 통해 소비자 시장 진출을 목표로 하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=376930,2026-06-09T18:53:57,ok,1,1,1,1,0,1,0,0,0,0,0,0,0,0
노타,2025-11-03,1810477,486990,20251022000314,[발행조건확정]증권신고서(지분증권),general,22.7,35.5,29.1,7600.0,9100.0,8350.0,9100.0,0.0898,8616.0,86.16,29.4,PER,11774.0,21500805.0,2916000.0,26535600000.0,22.7,35.5,29.1,코스닥,0.0,0.0,5.0,ok,977500.0,22.7111,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 IT 서비스,IT서비스,"동사는 2015년 설립된 온디바이스 AI 전문 기업으로, 2025년 코스닥시장에 기술성장기업으로 상장함. 종속회사로 미국, 일본 법인과 중동 진출을 위한 두바이 법인(NOTA AI MEA - FZCO)를 보유하고 있음. 클라우드에 의존하지 않고 기기 내에서 실행 가능한 경량화 AI 기술을 통해 스마트폰, IoT 장치, 반도체, 자동차 등에서 AI 모델을 경량화 및 최적화하는 솔루션을 제공함.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=486990,2026-06-15T18:53:32,ok,0,0,1,1,0,1,0,0,1,0,0,0,0,0
뉴로메카,2022-11-04,1336461,348340,20221025000174,[발행조건확정]증권신고서(지분증권),general,30.1,42.1,36.1,14000.0,16900.0,15450.0,16900.0,0.0939,14220.76,142.2076,30.41,PER,24177.0,10967670.0,45000.0,,29.69,41.69,35.69,코스닥,0.0,0.0,5.0,ok,657971.0,30.0989,0.41,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 기계·장비,기계,"동사는 2013년 로봇 개발·생산·판매 및 자동화솔루션 공급 목적으로 설립되어, 2022년 코스닥시장에 상장함. 협동로봇 상용화를 위해 로봇 제어 소프트웨어와 하드웨어를 내재화하여 다양한 산업 분야에 자동화솔루션을 공급하고 있음. 핵심 부품, 로봇 플랫폼, 도메인 솔루션, AI 기술을 내재화해 글로벌 로봇 기업과 경쟁 기반을 확보하고 피지컬 AI 기반 전문 기업으로 성장 중임.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=348340,2026-06-09T18:53:58,ok,0,0,1,1,1,1,0,1,0,0,0,1,0,0
뉴로핏,2025-07-25,1782004,380550,20250714000224,[발행조건확정]증권신고서(지분증권),general,24.76,38.74,31.75,11400.0,14000.0,12700.0,14000.0,0.1024,,,,PER,18608.0,,2000000.0,28000000000.0,24.76,38.74,31.75,코스닥,0.0,0.0,3.0,partial,745705.0,24.7635,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 IT 서비스,건강관리기술,"동사는 2016년 뇌질환 AI 솔루션 전문기업으로 설립되고, 2025년 코스닥 상장함. 딥러닝 기반 뇌영상 분석 기술로 신경퇴행성 뇌질환의 진단·치료 솔루션을 개발, 주요 제품으로 MRI 기반 AQUA, PET 분석 SCALE PET, AQUA AD를 보유하고 있음. 글로벌 시장에서 제약사 대상 Imaging CRO 서비스와 일본, 유럽, 중국, 미국 등 해외 진출로 진단부터 치료까지 전주기 뇌질환 의료 솔루션을 제공하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=380550,2026-06-09T18:53:58,ok,1,1,1,1,0,0,0,0,0,0,0,0,0,0
뉴엔AI,2025-07-04,1639508,463020,20250620000288,[발행조건확정]증권신고서(지분증권),general,26.06,35.92,30.99,13000.0,15000.0,14000.0,15000.0,0.0714,,,,EV/EBITDA,20287.0,,2220000.0,33300000000.0,26.06,35.92,30.99,코스닥,0.0,0.0,3.0,partial,647823.0,26.061,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv,코스닥 IT 서비스,IT서비스,"동사는 2004년 설립된 빅데이터 및 AI 분석 전문기업으로 2024년 뉴엔에이아이로 상호 변경 후 코스닥시장에 상장함. 빅데이터와 AI기술을 결합해 미래 예측과 공급망 관리를 지원하며, 비정형 빅데이터 AI 분석 시장을 개척하고 있음. 30개의 기술특허와 인력을 바탕으로 맞춤형 AI 분석, 표준화 AI 분석, 데이터 정제 및 가공을 통해 다양한 산업에서 활용되고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=463020,2026-06-09T18:53:58,ok,0,0,1,1,0,0,0,1,0,0,0,0,0,0
닷밀,2024-11-13,1605282,464580,20241101000289,[발행조건확정]증권신고서(지분증권),general,20.91,33.08,26.995,11000.0,13000.0,12000.0,13000.0,0.0833,,,,PER,16438.0,9438054.0,1200000.0,,20.91,33.08,26.995,코스닥,0.0,0.0,3.0,partial,457533.0,20.915,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv,코스닥 오락·문화,방송과엔터테인먼트,"동사는 2015년 설립된 종합 실감미디어 엔터테인먼트 테크 기업으로, 2024년 코스닥시장에 이익미실현기업 특례상장하였음. 프로젝션 맵핑, XR, 홀로그램 등 실감미디어 기반 B2B·B2G 수주사업과 실감미디어 테마파크 운영 B2C 사업을 영위하고 있음. 기획부터 시공, 운영까지 전 과정을 내부 인력으로 해결하는 독자적 조직구조를 구축하며, 테마파크·공연·AI 등 전방위 산업 확산을 선도하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=464580,2026-06-09T18:53:59,ok,0,0,0,1,0,0,0,0,0,0,0,1,0,0
대진첨단소재,2025-03-06,1549472,393970,20250219001498,[발행조건확정]증권신고서(지분증권),general,30.11,41.4,35.754999999999995,10900.0,13000.0,11950.0,9000.0,-0.2469,,,31.54,EV/EBITDA,19200.0,,3000000.0,27000000000.0,32.29,43.23,37.76,코스닥,0.0,0.0,4.0,ok,730567.0,53.125,2.005,MINOR_DIFF,,,,,,,,,,,,,,,ipo_features_raw.csv,코스닥 화학,전기제품,"동사는 2019년 이차전지 및 자동차부품 소재의 제조와 도소매업 목적 설립, 2025년 코스닥시장에 상장함. 배터리 제조공정에서 대전방지 트레이, PET 이형필름, 대전방지 코팅액을 주력으로 사업을 영위하고, 자동차 및 가전제품용 플라스틱 부품을 납품하고 있음. CNT 기술 자체 개발로 전도성 강화, 중국과 합작법인 설립, 미국 생산기반 구축 통해 북미 시장 공략 본격화하고 있음.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=393970,2026-06-09T18:53:59,ok,0,0,0,0,0,0,1,1,1,0,0,0,0,0
더즌,2025-03-24,1563667,462860,20250311000714,[발행조건확정]증권신고서(지분증권),general,24.41,36.51,30.46,10500.0,12500.0,11500.0,9000.0,-0.2174,11760.417,117.6042,33.7,PER,16537.0,23967758.0,2500000.0,22500000000.0,24.41,36.51,30.46,코스닥,0.0,0.0,5.0,ok,450457.0,45.5766,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv,코스닥 통신,IT서비스,"동사는 2017년 설립되어 디지털 뱅킹, FX, 데이터 솔루션을 주요 제품으로 사업을 하고 있으며, 2025년 코스닥에 상장함. 디지털 뱅킹 솔루션은 펌뱅킹, 가상계좌, 부가서비스로 대량 지급 거래 기업의 자금 업무 효율화를 위한 전자금융 솔루션임. FX 솔루션은 크로스보더 거래 고객에 환전 및 정산 자동화를 제공하는 자금관리 서비스와 무인 환전 키오스크로 구성됨.",https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=462860,2026-06-09T18:53:59,ok,0,0,1,0,1,0,0,0,0,1,0,0,0,0
