company_name,rcept_no,report_nm,track_type,extraction_status,filled_key_fields,xml_size,price_band_low,price_band_high,final_offering_price,net_income_bn,peer_per,per_stock_value,offering_shares,listing_market
노브랜드,20240510000090,[발행조건확정]증권신고서(지분증권),general,partial,3.0,622237.0,8700.0,11000.0,14000.0,,,12858.0,1200000.0,코스닥
코칩,20240423000279,[발행조건확정]증권신고서(지분증권),general,ok,4.0,652369.0,11000.0,14000.0,18000.0,,22.52,15399.0,1500000.0,코스닥
오상헬스케어,20240229002403,[기재정정]증권신고서(지분증권),general,ok,4.0,4526431.0,13000.0,15000.0,20000.0,12.1,,24954.0,990000.0,
스튜디오삼익,20240124000150,[발행조건확정]증권신고서(지분증권),general,partial,3.0,400382.0,14500.0,16500.0,18000.0,,,20526.0,,코스닥
이닉스,20240119000136,[발행조건확정]증권신고서(지분증권),general,partial,3.0,612198.0,9200.0,11000.0,14000.0,,,14090.0,3000000.0,코스닥
포스뱅크,20240115000358,[발행조건확정]증권신고서(지분증권),general,partial,3.0,418687.0,13000.0,15000.0,18000.0,,,18122.0,1500000.0,코스닥
현대힘스,20240116000199,[발행조건확정]증권신고서(지분증권),general,partial,3.0,320502.0,5000.0,6300.0,7300.0,,,8311.0,8707000.0,코스닥
HB인베스트먼트,20240115000371,[발행조건확정]증권신고서(지분증권),general,fail,0.0,31097.0,,,,,,,,
우진엔텍,20240115000087,[발행조건확정]증권신고서(지분증권),general,partial,3.0,386832.0,4300.0,4900.0,5300.0,,,,2060000.0,코스닥
LS머트리얼즈,20231130001608,[발행조건확정]증권신고서(지분증권),general,partial,3.0,640531.0,4400.0,5500.0,6000.0,,,6423.0,,코스닥
케이엔에스,20231124000347,[발행조건확정]증권신고서(지분증권),general,ok,4.0,341332.0,19000.0,22000.0,23000.0,57.29,,28327.0,,코스닥
에이에스텍,20231115000157,[발행조건확정]증권신고서(지분증권),general,partial,3.0,508140.0,21000.0,25000.0,28000.0,,,,35715.0,코스닥
한선엔지니어링,20231110000103,[발행조건확정]증권신고서(지분증권),general,partial,3.0,557722.0,5200.0,6000.0,7000.0,,,7760.0,4250000.0,코스닥
에코아이,20231109000215,[발행조건확정]증권신고서(지분증권),general,ok,4.0,565521.0,28500.0,34700.0,34700.0,174.74,,41085.0,2079000.0,코스닥
스톰테크,20231108000512,[발행조건확정]증권신고서(지분증권),general,fail,0.0,27624.0,,,,,,,3350000.0,
캡스톤파트너스,20231103000318,[발행조건확정]증권신고서(지분증권),general,partial,3.0,347089.0,3200.0,3600.0,4000.0,,,4229.0,1596000.0,코스닥
에스와이스틸텍,20231031000076,[발행조건확정]증권신고서(지분증권),general,partial,3.0,360534.0,1200.0,1500.0,1800.0,,,,7000000.0,코스닥
에이직랜드,20231031000244,[발행조건확정]증권신고서(지분증권),general,partial,3.0,768583.0,19100.0,21400.0,25000.0,,,30998.0,2636330.0,코스닥
메가터치,20231030000175,[발행조건확정]증권신고서(지분증권),general,partial,3.0,605141.0,3500.0,4000.0,4800.0,,,4989.0,5200000.0,코스닥
유진테크놀로지,20231019000208,[발행조건확정]증권신고서(지분증권),general,partial,3.0,460854.0,12800.0,14500.0,17000.0,,,20879.0,1049482.0,코스닥
워트,20231013000580,[발행조건확정]증권신고서(지분증권),general,partial,3.0,366046.0,5000.0,5600.0,6500.0,,,6395.0,,코스닥
에스엘에스바이오,20230926000450,[발행조건확정]증권신고서(지분증권),general,partial,3.0,351407.0,8200.0,9400.0,7000.0,,,10167.0,770000.0,코스닥
신성에스티,20231006000228,[발행조건확정]증권신고서(지분증권),general,partial,3.0,410497.0,22000.0,25000.0,26000.0,,,35360.0,38462.0,코스닥
퓨릿,20231004000216,[발행조건확정]증권신고서(지분증권),general,partial,3.0,562108.0,8800.0,10700.0,10700.0,,,14824.0,4137000.0,코스닥
레뷰코퍼레이션,20230918000162,[발행조건확정]증권신고서(지분증권),general,partial,3.0,828218.0,11500.0,13200.0,15000.0,,,17016.0,2240000.0,코스닥
한싹,20230918000117,[발행조건확정]증권신고서(지분증권),general,partial,3.0,578849.0,8900.0,11000.0,12500.0,,,,1500000.0,코스닥
인스웨이브시스템즈,20230913000346,[발행조건확정]증권신고서(지분증권),general,partial,3.0,387219.0,20000.0,24000.0,24000.0,,,,,코스닥
빅텐츠,20230804000193,[첨부정정]증권신고서(지분증권),konex_transfer,download_failed,,,,,,,,,,
코츠테크놀로지,20230731000178,[발행조건확정]증권신고서(지분증권),general,partial,3.0,481817.0,10000.0,11500.0,13000.0,,,15071.0,,코스닥
엠아이큐브솔루션,20230725000127,[발행조건확정]증권신고서(지분증권),general,partial,3.0,404009.0,8500.0,10000.0,12000.0,,,13242.0,,코스닥
에이엘티,20230714000210,[발행조건확정]증권신고서(지분증권),general,partial,3.0,276827.0,16700.0,20500.0,25000.0,,,27146.0,900000.0,코스닥
뷰티스킨,20230712000259,[발행조건확정]증권신고서(지분증권),general,fail,1.0,543464.0,,,26000.0,,,25722.0,,코스닥
필에너지,20230704000144,[첨부정정]증권신고서(지분증권),general,download_failed,,,,,,,,,,
시큐센,20230619000132,[발행조건확정]증권신고서(지분증권),konex_transfer,partial,3.0,349394.0,2000.0,2400.0,3000.0,,,2789.0,1948000.0,코스닥
마녀공장,20230524000321,[발행조건확정]증권신고서(지분증권),general,partial,3.0,341158.0,12000.0,14000.0,16000.0,,,22337.0,,코스닥
나라셀라,20230519000339,[발행조건확정]증권신고서(지분증권),general,partial,3.0,335641.0,20000.0,24000.0,20000.0,,,,,코스닥
진영,20230519000263,[발행조건확정]증권신고서(지분증권),general,partial,3.0,442940.0,3600.0,4200.0,5000.0,,,6123.0,4250000.0,코스닥
기가비스,20230512000026,[발행조건확정]증권신고서(지분증권),general,partial,3.0,389674.0,34400.0,39700.0,43000.0,,,65082.0,2218258.0,코스닥
트루엔,20230503000315,[발행조건확정]증권신고서(지분증권),general,partial,3.0,406518.0,10000.0,12000.0,12000.0,,,15680.0,2500000.0,코스닥
토마토시스템,20230414000088,[발행조건확정]증권신고서(지분증권),general,partial,3.0,270333.0,18200.0,22200.0,18200.0,,,,860000.0,코스닥
LB인베스트먼트,20230316001463,[발행조건확정]증권신고서(지분증권),general,fail,1.0,81962.0,,,5100.0,,,,,코스닥
금양그린파워,20230228000586,[발행조건확정]증권신고서(지분증권),general,partial,3.0,350066.0,6700.0,8000.0,10000.0,,,12013.0,3007320.0,코스닥
나노팀,20230217000999,[발행조건확정]증권신고서(지분증권),general,partial,3.0,411069.0,11500.0,13000.0,13000.0,,,16712.0,61500.0,코스닥
바이오인프라,20230217001371,[기재정정]증권신고서(지분증권),general,ok,4.0,2627373.0,18000.0,21000.0,21000.0,33.49,,28240.0,650000.0,
이노진,20230208000172,[발행조건확정]증권신고서(지분증권),general,ok,4.0,381421.0,2500.0,3000.0,3000.0,14.6,,3212.0,2600000.0,코스닥
꿈비,20230130000210,[발행조건확정]증권신고서(지분증권),general,partial,3.0,368993.0,4000.0,4500.0,5000.0,,,5183.0,,코스닥
스튜디오미르,20230119000286,[발행조건확정]증권신고서(지분증권),general,partial,3.0,466942.0,15300.0,19500.0,19500.0,,,24603.0,1000000.0,코스닥
삼기이브이,20230120000341,[발행조건확정]증권신고서(지분증권),general,partial,3.0,652966.0,13800.0,16500.0,11000.0,,,18536.0,3552037.0,코스닥
미래반도체,20230113000114,[발행조건확정]증권신고서(지분증권),general,partial,3.0,340257.0,5300.0,6000.0,6000.0,,,6721.0,3600000.0,코스닥
한주라이트메탈,20230109000226,[발행조건확정]증권신고서(지분증권),general,partial,3.0,640883.0,2700.0,3100.0,3100.0,,,4572.0,6500000.0,코스닥
