company_name,listing_date,corp_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,valuation_model,offering_shares,offering_amount,listing_market,is_tech_special,is_growth_special,per_stock_value,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,discount_rate_xml_source,discount_rate_diff,data_quality_flag,net_income_mn,net_income_bn,peer_per,total_shares,institutional_ratio,retail_ratio,net_income_type,dart_revenue_bn,dart_op_income_bn,dart_net_income_bn,dart_assets_bn,dart_equity_bn,dart_bsns_year,dart_reprt_code,dart_debt_ratio,dart_op_margin,net_income_source
애드바이오텍,2022-01-24,01022902,20220111000212,[발행조건확정]증권신고서(지분증권),general,35.9,43.9,39.9,7000.0,8000.0,7500.0,7000.0,-0.0667,PER,1360000.0,9520000000.0,코스닥,0.0,0.0,12478.0,3.0,partial,337882.0,43.9013,,,43.9013,implied,4.0013,MISMATCH_CHECK,,-26.6447,,,,,,118.4017,-15.546,-26.6447,209.5934,51.0561,2021.0,11011,310.52,-13.13,dart_api
이지트로닉스,2022-02-04,01140837,20220118000223,[발행조건확정]증권신고서(지분증권),general,34.1,43.1,38.6,19000.0,22000.0,20500.0,22000.0,0.0732,PER,1980000.0,43560000000.0,코스닥,0.0,0.0,33374.0,3.0,partial,399902.0,34.0804,34.08,43.09,38.585,,0.015,OK,,0.9375,,,,,,177.4781,-0.3023,0.9375,362.9882,198.7787,2021.0,11011,82.61,-0.17,dart_api
스코넥엔터테인먼트,2022-02-04,,,,general,27.8,45.8,36.8,,,,,,,,,,,,,,no_rcept_no,,,,,,,,,,,,,,,,,,,,,,,,,
바이오에프디엔씨,2022-02-21,01160974,20220127000144,[발행조건확정]증권신고서(지분증권),general,20.4,36.8,28.6,23000.0,29000.0,26000.0,28000.0,0.0769,PER,1300000.0,,코스닥,0.0,0.0,36414.2,5.0,ok,532934.0,23.1069,20.36,36.84,28.6,,0.0,OK,14799.0,147.99,28.85,8864700.0,,,,,,,,,,,,,
퓨런티어,2022-02-23,01357446,20220210000269,[발행조건확정]증권신고서(지분증권),general,24.3,37.0,30.65,11400.0,13700.0,12550.0,15000.0,0.1952,PER,1600000.0,24000000000.0,코스닥,0.0,0.0,18094.0,3.0,partial,424301.0,17.0996,,,17.0996,implied,13.5504,MISMATCH_CHECK,,26.418,,,,,,221.7196,12.1972,26.418,176.1162,127.8421,2021.0,11011,37.76,5.5,dart_api
풍원정밀,2022-02-28,00417167,20220215000835,[발행조건확정]증권신고서(지분증권),general,22.8,32.9,27.85,13200.0,15200.0,14200.0,15200.0,0.0704,PER,3000000.0,45600000000.0,코스닥,0.0,0.0,19679.0,4.0,ok,278262.0,22.7603,,,22.7603,implied,5.0897,MISMATCH_CHECK,15798.0,157.98,,,,,,,,,,,,,,,
노을,2022-03-03,01494118,20220218001119,[발행조건확정]증권신고서(지분증권),general,16.5,36.2,26.35,13000.0,17000.0,15000.0,10000.0,-0.3333,PER,1500000.0,15000000000.0,코스닥,0.0,0.0,,3.0,partial,349163.0,,16.51,36.15,26.33,,0.02,OK,,-123.1309,,,64.0,25.0,,14.7531,-114.3791,-123.1309,199.6112,18.5701,2021.0,11011,974.9,-775.29,dart_api
모아데이타,2022-03-10,01423837,20220224002200,[발행조건확정]증권신고서(지분증권),general,15.9,27.9,21.9,24000.0,28000.0,26000.0,20000.0,-0.2308,PER,24000.0,16000000000.0,코스닥,0.0,0.0,33286.0,3.0,partial,299677.0,39.9147,15.9,27.9,21.9,,0.0,OK,,10.8341,,,,,,196.4252,27.0973,10.8341,248.7891,193.4073,2021.0,11011,28.63,13.8,dart_api
비플라이소프트,2022-06-20,,,,general,34.2,42.9,38.55,,,,,,,,,,,,,,no_rcept_no,,,,,,,,,,,,,,,,,,,,,,,,,
보로노이,2022-06-24,01327746,20220613000191,[발행조건확정]증권신고서(지분증권),general,36.5,44.8,40.65,40000.0,46000.0,43000.0,40000.0,-0.0698,PER,1300000.0,52000000000.0,코스닥,0.0,0.0,72464.0,3.0,partial,385674.0,44.8002,36.52,44.8,40.66,,0.01,OK,,,,,,,,,,,,,,,,,
