listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates
2024-05-03,민테크,01689035,452200,민테크,exact,False,13.62,33.95,23.785,,
2024-05-17,아이씨티케이,01373709,456010,아이씨티케이,exact,False,15.0,31.0,23.0,,
2024-06-17,라메디텍,01504211,462510,라메디텍,exact,False,10.54,26.75,18.645,,
2024-06-24,한중엔시에스,00474588,107640,한중엔시에스,exact,False,32.6,42.64,37.62,,
2024-06-19,씨어스테크놀로지,,,,not_found,True,7.6,30.7,19.15,,
2024-06-28,에이치브이엠,01011368,295310,에이치브이엠,exact,False,17.0,36.0,26.5,,
2024-07-02,이노스페이스,01700587,462350,이노스페이스,exact,False,25.0,37.0,31.0,,
2024-07-03,하스,01663569,450330,하스,exact,False,11.72,33.79,22.755,,
2024-07-15,엑셀세라퓨틱스,01492217,373110,엑셀세라퓨틱스,exact,False,24.4,39.13,31.765,,
2024-07-31,피앤에스미캐닉스,,,,not_found,True,24.41,37.75,31.08,,
2024-08-06,아이빔테크놀로지,01678312,460470,아이빔테크놀로지,exact,False,23.9,34.6,29.25,,
2024-08-12,뱅크웨어글로벌,01138595,199480,뱅크웨어글로벌,exact,False,27.93,39.31,33.62,,
2024-08-20,케이쓰리아이,01689266,431190,케이쓰리아이,exact,False,22.85,37.78,30.315,,
2024-08-20,넥스트바이오메디컬,01385050,389650,넥스트바이오메디컬,exact,False,30.6,42.56,36.58,,
2024-08-23,이엔셀,01544468,456070,이엔셀,exact,False,23.45,31.96,27.705,,
2024-09-23,아이언디바이스,01706794,464500,아이언디바이스,exact,False,25.45,35.91,30.68,,
2024-10-16,셀비온,01275489,308430,셀비온,exact,False,41.32,51.1,46.21,,
2024-10-21,루미르,01636565,474170,루미르,exact,False,21.36,36.7,29.03,,
2024-10-24,씨메스,01588189,475400,씨메스로보틱스,partial,False,15.71,29.76,22.735,부분 매칭: 씨메스 → 씨메스로보틱스,
2024-10-25,웨이비스,01270749,289930,웨이비스,exact,False,17.97,27.81,22.89,,
2024-10-28,클로봇,01784914,466100,클로봇,exact,False,25.22,35.51,30.365,,
2024-11-05,에이치이엠파마,,,,not_found,True,24.72,35.02,29.87,,
2024-11-07,토모큐브,01573336,475960,토모큐브,exact,False,14.51,30.46,22.485,,
2024-11-08,에어레인,01663116,163280,에어레인,exact,False,30.8,40.15,35.475,,
2024-11-14,쓰리빌리언,01506617,394800,쓰리빌리언,exact,False,11.15,38.49,24.82,,
2024-12-18,온코크로스,01423916,382150,온코크로스,exact,False,15.18,30.35,22.765,,
2024-12-19,온코닉테라퓨틱스,01632912,476060,온코닉테라퓨틱스,exact,False,24.44,32.83,28.635,,
2024-12-24,쓰리에이로직스,00870065,177900,쓰리에이로직스,exact,False,45.4,52.9,49.15,,
2024-12-26,파인메딕스,01455410,387570,파인메딕스,exact,False,32.81,39.53,36.17,,
2025-01-24,와이즈넛,00351427,096250,와이즈넛,exact,False,29.08,34.53,31.805,,
2025-02-04,아이지넷,01728167,462980,아이지넷,exact,False,26.96,37.39,32.175,,
2025-02-12,아이에스티이,01208751,212710,아이에스티이,exact,False,38.0,47.5,42.75,,
2025-02-14,오름테라퓨틱,01658831,475830,오름테라퓨틱,exact,False,65.27,72.22,68.745,,
2025-05-09,오가노이드사이언스,01626391,476040,오가노이드사이언스,exact,False,18.88,34.33,26.605,,
2025-05-19,이뮨온시아,01203659,424870,이뮨온시아,exact,False,32.09,43.3,37.695,,
2025-05-23,인투셀,01374443,287840,인투셀,exact,False,25.8,45.4,35.6,,
2025-06-10,링크솔루션,01764099,474650,링크솔루션,exact,False,42.87,50.32,46.595,,
2025-06-11,지씨지놈,01432598,340450,지씨지놈,exact,False,25.74,36.35,31.045,,
2025-06-30,지에프씨생명과학,01221752,388610,지에프씨생명과학,exact,False,29.06,42.97,36.015,,
2025-07-04,뉴엔에이아이,,,,not_found,True,26.06,35.92,30.99,,
2025-07-15,아우토크립트,01649620,331740,아우토크립트,exact,False,21.59,33.35,27.47,,
2025-07-25,뉴로핏,01782004,380550,뉴로핏,exact,False,24.76,38.74,31.75,,
2025-07-29,프로티나,01688568,468530,프로티나,exact,False,28.72,43.99,36.355,,
2025-08-14,지투지바이오,01577952,456160,지투지바이오,exact,False,42.91,52.76,47.835,,
2023-08-10,큐리옥스바이오시스,01498974,445680,큐리옥스바이오시스템즈,partial,False,32.0,44.8,38.4,부분 매칭: 큐리옥스바이오시스 → 큐리옥스바이오시스템즈,
2024-06-25,에스오에스랩,01686427,464080,에스오에스랩,exact,False,34.53,45.44,39.985,,
2025-07-04,뉴엔AI,01639508,463020,뉴엔AI,exact,False,26.06,35.92,30.99,,
2025-08-25,그래피,01565054,318060,그래피,exact,False,32.39,42.53,37.46,,
2025-09-19,에스투더블유,01803635,488280,에스투더블유,exact,False,24.05,34.65,29.35,,
2025-05-20,바이오비쥬,01657197,489460,바이오비쥬,exact,False,31.42,39.67,35.545,,
2025-05-09,원일티엔아이,00488244,136150,원일티엔아이,exact,False,41.12,49.54,45.33,,
2025-04-04,한국피아이엠,00765897,448900,한국피아이엠,exact,False,30.59,42.37,36.48,,
2025-04-03,에이유브랜즈,01803927,481070,에이유브랜즈,exact,False,8.79,20.19,14.49,,
2025-03-24,더즌,01563667,462860,더즌,exact,False,24.41,36.51,30.46,,
2025-03-20,한텍,00404941,098070,한텍,exact,False,43.0,51.5,47.25,,
2025-03-20,티엑스알로보틱스,01458161,484810,티엑스알로보틱스,exact,False,25.49,36.53,31.01,,
2025-03-07,엠디바이스,01022142,226590,엠디바이스,exact,False,40.11,48.36,44.235,,
2025-03-06,대진첨단소재,01549472,393970,대진첨단소재,exact,False,30.11,41.4,35.755,,
2025-02-25,엘케이켐,01747977,489500,엘케이켐,exact,False,29.73,39.77,34.75,,
2025-02-24,위너스,,,,multiple_partial,True,17.19,26.93,22.06,2개 부분 매칭 후보,"[{'corp_code': '01137860', 'name': '위너스일렉', 'stock': '479960'}, {'corp_code': '00165200', 'name': '위너스인프라인', 'stock': '005760'}]"
2025-02-20,모티브링크,00367400,463480,모티브링크,exact,False,16.98,29.43,23.205,,
2025-02-17,동국생명과학,01233465,303810,동국생명과학,exact,False,11.2,21.75,16.475,,
2025-02-13,동방메디컬,01073261,240550,동방메디컬,exact,False,38.78,47.53,43.155,,
2025-02-04,피아이이,01429220,452450,피아이이,exact,False,23.97,39.17,31.57,,
2025-02-03,삼양엔씨켐,00863533,482630,삼양엔씨켐,exact,False,17.75,26.89,22.32,,
2025-01-24,아스테라시스,01590528,450950,아스테라시스,exact,False,13.7,24.95,19.325,,
2025-01-23,미트박스,01374717,475460,미트박스,exact,False,29.18,41.5,35.34,,
2024-12-20,듀켐바이오,00867034,176750,듀켐바이오,exact,False,30.99,39.8,35.395,,
2024-12-16,벡트,01453944,457600,벡트,exact,False,23.7,31.53,27.615,,
2024-11-20,위츠,01445440,459100,위츠,exact,False,14.77,29.42,22.095,,
2024-11-19,사이냅소프트,01207901,466410,사이냅소프트,exact,False,27.98,38.26,33.12,,
2024-11-18,엠오티,01563922,413390,엠오티,exact,False,6.48,19.84,13.16,,
2024-11-13,닷밀,01605282,464580,닷밀,exact,False,20.91,33.08,26.995,,
2024-11-01,탑런토탈솔루션,00814582,336680,탑런토탈솔루션,exact,False,37.85,46.73,42.29,,
2024-11-01,에이럭스,01641600,475580,에이럭스,exact,False,13.41,26.24,19.825,,
2024-10-31,성우,00319272,458650,성우,exact,False,14.03,25.89,19.96,,
2024-10-25,에이치엔에스하이텍,00311216,044990,에이치엔에스하이텍,exact,False,19.37,31.78,25.575,,
2024-10-22,한켐,01016309,457370,한켐,exact,False,18.89,30.08,24.485,,
2024-10-18,와이제이링크,01023211,209640,와이제이링크,exact,False,23.05,32.47,27.76,,
2024-10-18,인스피언,01284876,465480,인스피언,exact,False,16.37,33.1,24.735,,
2024-09-30,제닉스,01293485,381620,제닉스로보틱스,partial,False,23.44,36.95,30.195,부분 매칭: 제닉스 → 제닉스로보틱스,
2024-08-30,아이스크림미디어,00657224,461300,아이스크림미디어,exact,False,9.41,27.89,18.65,,
2024-08-22,M83,01704680,476080,M83,exact,False,33.63,43.84,38.735,,
2024-08-21,티디에스팜,01232192,464280,티디에스팜,exact,False,11.86,21.75,16.805,,
